Data set #,Algorithm,Runtime
0,Quick Sort,"[0.024597031999292085, 0.023391564001940424, 0.025284342998929787, 0.02329022500271094, 0.024907510000048205, 0.02447107699845219, 0.024127736000082223, 0.028978671001823386, 0.0353441160004877, 0.024093912998068845]"
0,Heap Sort,"[0.2179744959976233, 0.20052858000053675, 0.20116944300025352, 0.20522494500255561, 0.19844631500018295, 0.19118524700024864, 0.19865606700113858, 0.19970366200141143, 0.19871946700004628, 0.18733784399955766]"
0,Merge Sort,"[0.1115979360001802, 0.1046483280006214, 0.10407865600063815, 0.10411344000021927, 0.10938038300082553, 0.10693699500188814, 0.11770282799989218, 0.13571566599785, 0.10398426000028849, 0.10763164000309189]"
0,std::sort,"[0.07696338900132105, 0.11899895500027924, 0.07424122399970656, 0.07996497600106522, 0.07401411200044095, 0.07372918900000514, 0.09592746799899032, 0.07925251000051503, 0.08095158499781974, 0.08848086400030297]"
0,Numpy Sort,"[0.012418864997016499, 0.012350747998425504, 0.014252614000724861, 0.012308099001529627, 0.016458605001389515, 0.014053454000531929, 0.018486019998817937, 0.012265048000699608, 0.016029236001486424, 0.015238143998431042]"
1,Quick Sort,"[0.035943808001320576, 0.03289582200159202, 0.032263035001960816, 0.043561980997765204, 0.046266104000096675, 0.02999923400057014, 0.032308518999343505, 0.03577826900072978, 0.03229512799953227, 0.03371120500014513]"
1,Heap Sort,"[0.20248450500002946, 0.1898296389990719, 0.19006169899876113, 0.21352144599950407, 0.2225553870011936, 0.22975967899765237, 0.1883257160006906, 0.18809106799744768, 0.23038354000163963, 0.2879494849985349]"
1,Merge Sort,"[0.10441642600198975, 0.11915934399803518, 0.10901806599940755, 0.10384145300122327, 0.1151303149999876, 0.10318863599968608, 0.10405470800105832, 0.10327424600109225, 0.10313403399777599, 0.13314160400113906]"
1,std::sort,"[0.0934350009993068, 0.05925002199728624, 0.06066917900170665, 0.06040572699930635, 0.05909069499830366, 0.0592839359997015, 0.0597244269993098, 0.0602412429980177, 0.06032956499984721, 0.06545056399772875]"
1,Numpy Sort,"[0.012434784999641124, 0.018687503001274308, 0.012498844000219833, 0.012921902001835406, 0.012504213998909108, 0.017134036002971698, 0.012497982999775559, 0.018273621000844287, 0.01858490199811058, 0.012701671999820974]"
2,Quick Sort,"[0.14300357200045255, 0.1447065680004016, 0.14517341800092254, 0.1430036010024196, 0.14296276599998237, 0.14541336799811688, 0.14295164500072133, 0.14290967700071633, 0.14338517299984233, 0.1432660919999762]"
2,Heap Sort,"[0.30604576599944266, 0.28077098099674913, 0.3270666800017352, 0.3010898049979005, 0.2951520349997736, 0.2945024539985752, 0.28208137399997213, 0.28361296000002767, 0.29214883699751226, 0.2898886099974334]"
2,Merge Sort,"[0.2297736860018631, 0.22480510199966375, 0.2236378160014283, 0.2238379479967989, 0.22707338099644403, 0.2292919850006001, 0.224265414999536, 0.22809832300117705, 0.22399392900115345, 0.23004911999669275]"
2,std::sort,"[0.2115179580032418, 0.21029772300244076, 0.2093327029979264, 0.21134976399844163, 0.3864683649990184, 0.21257510899886256, 0.24113360599949374, 0.21198757299862336, 0.22778333400128759, 0.2204980410024291]"
2,Numpy Sort,"[0.013062785998045001, 0.013476306998200016, 0.01297271799921873, 0.01720791499974439, 0.017034381002304144, 0.013030836002144497, 0.012959512998349965, 0.013036145999649307, 0.01301690000036615, 0.013099404000968207]"
3,Quick Sort,"[0.14604273900113185, 0.14488986899959855, 0.14505014099995606, 0.16148584500115248, 0.14562636200207635, 0.144948518001911, 0.14503235499796574, 0.1522430089971749, 0.14834627299933345, 0.1447976870003913]"
3,Heap Sort,"[0.30009496100319666, 0.2823428519986919, 0.3012912509984744, 0.28241956399870105, 0.2800811540000723, 0.2825228369983961, 0.28568878000078257, 0.37967601000127615, 0.2834398000013607, 0.3214375839997956]"
3,Merge Sort,"[0.2284823049994884, 0.23034793699844158, 0.23256056899845134, 0.2338997590013605, 0.2251299370000197, 0.23416144600196276, 0.22771895400001085, 0.22419335399899865, 0.23011933000088902, 0.2473389959995984]"
3,std::sort,"[0.23231862100146827, 0.2211555670000962, 0.21689362100005383, 0.21154642999681528, 0.21123755499866093, 0.2432335689991305, 0.2752123339996615, 0.21530204599912395, 0.28022881300057634, 0.25277277500208584]"
3,Numpy Sort,"[0.013187518001359422, 0.01295404299889924, 0.013023963001614902, 0.012999949001823552, 0.02158633799990639, 0.01759862199833151, 0.017630241000006208, 0.017628397999942536, 0.0133192239991331, 0.01764278499831562]"
4,Quick Sort,"[0.14367843999934848, 0.14411766600096598, 0.14384683400203357, 0.14382983299947227, 0.15117170099983923, 0.15127106599902618, 0.14497491699876264, 0.1437583690021711, 0.15628216000186512, 0.14372126099988236]"
4,Heap Sort,"[0.2984276619972661, 0.2837233059981372, 0.3644909569993615, 0.28390271999887773, 0.2841258159969584, 0.28531665700211306, 0.2819091399978788, 0.29802225599996746, 0.2824560230001225, 0.2834228350002377]"
4,Merge Sort,"[0.23231130999920424, 0.24421920899840188, 0.22364953999931458, 0.22348556200086023, 0.22374913299790933, 0.22461135299818125, 0.23616155399940908, 0.22458288699999684, 0.22368556199944578, 0.22507022699937806]"
4,std::sort,"[0.21202668900150456, 0.23696265000035055, 0.20816870300041046, 0.20889897399683832, 0.23189706500124885, 0.21454349900159286, 0.2870244810001168, 0.20839194899963331, 0.21299778699903982, 0.21200397400025395]"
4,Numpy Sort,"[0.012861150000389898, 0.012878883000666974, 0.012877690998720936, 0.012848746999225114, 0.012918976997752907, 0.012873051997303264, 0.012933866000821581, 0.013523939000151586, 0.01284902699990198, 0.012895152998680715]"
5,Quick Sort,"[0.14975199400214478, 0.1574305709982582, 0.15806901899850345, 0.14177134399869828, 0.14157760399757535, 0.14411470399863902, 0.14253716199891642, 0.14279350099968724, 0.14179248300206382, 0.1471752529978403]"
